,Airline,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Journey_Month,Journey_Day,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute,Duration_mins
1250,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,21:50,04:25,6h 35m,1 stop,In-flight meal not included,12898.0,5,21,21,50,4,25,395
1251,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,08:15,25h 45m,1 stop,In-flight meal not included,8586.0,5,12,6,30,8,15,1545
1252,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,08:30,19:00,10h 30m,1 stop,No info,11622.0,6,9,8,30,19,0,630
1253,Air India,Delhi,Cochin,DEL ? LKO ? BOM ? COK,12:20,19:15,30h 55m,2 stops,No info,13538.0,5,6,12,20,19,15,1855
1254,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,04:25,22h 55m,2 stops,No info,13014.0,6,1,5,30,4,25,1375
1255,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,10:05,15h 10m,1 stop,No info,13941.0,5,9,18,55,10,5,910
1256,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,10:55,25h 20m,1 stop,No info,14151.0,5,18,9,35,10,55,1520
1257,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,17:30,01:35,8h 5m,1 stop,No info,13542.0,3,21,17,30,1,35,485
1258,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,06:40,22:20,15h 40m,1 stop,No info,6558.0,3,21,6,40,22,20,940
1259,Air Asia,Kolkata,Banglore,CCU ? DEL ? BLR,07:35,19:25,11h 50m,1 stop,No info,5192.0,5,18,7,35,19,25,710
1260,Vistara,Banglore,Delhi,BLR ? DEL,07:00,09:40,2h 40m,non-stop,No info,4878.0,6,1,7,0,9,40,160
1261,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,15:00,12:35,21h 35m,1 stop,In-flight meal not included,12898.0,5,27,15,0,12,35,1295
1262,Air India,Delhi,Cochin,DEL ? BLR ? COK,17:40,23:00,5h 20m,1 stop,No info,7384.0,6,9,17,40,23,0,320
1263,GoAir,Banglore,Delhi,BLR ? DEL,07:45,10:40,2h 55m,non-stop,No info,3898.0,5,3,7,45,10,40,175
1264,Air Asia,Banglore,Delhi,BLR ? DEL,23:55,02:45,2h 50m,non-stop,No info,3383.0,5,6,23,55,2,45,170
1265,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,06:40,21:00,14h 20m,1 stop,No info,6093.0,6,24,6,40,21,0,860
1266,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,08:00,19:00,11h,1 stop,No info,12192.0,6,12,8,0,19,0,660
1267,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,12:50,01:30,12h 40m,1 stop,No info,6795.0,6,12,12,50,1,30,760
1268,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,07:00,07:40,24h 40m,1 stop,No info,11455.0,3,18,7,0,7,40,1480
1269,IndiGo,Chennai,Kolkata,MAA ? CCU,15:40,18:25,2h 45m,non-stop,No info,3540.0,6,1,15,40,18,25,165
1270,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:15,10h 15m,1 stop,No info,15898.0,5,27,9,0,19,15,615
1271,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,10:00,21:00,11h,1 stop,No info,9718.0,6,3,10,0,21,0,660
1272,GoAir,Kolkata,Banglore,CCU ? AMD ? BLR,16:40,00:15,7h 35m,1 stop,No info,7831.0,5,15,16,40,0,15,455
1273,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,08:30,21:00,12h 30m,1 stop,No info,6416.0,6,3,8,30,21,0,750
1274,Vistara,Chennai,Kolkata,MAA ? CCU,07:05,09:20,2h 15m,non-stop,No info,3739.0,3,27,7,5,9,20,135
1275,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,23:25,16h 15m,1 stop,No info,8085.0,5,6,7,10,23,25,975
1276,IndiGo,Banglore,Delhi,BLR ? DEL,16:55,19:55,3h,non-stop,No info,4823.0,5,3,16,55,19,55,180
1277,Jet Airways,Delhi,Cochin,DEL ? NAG ? BOM ? COK,14:35,12:35,22h,2 stops,No info,13376.0,6,9,14,35,12,35,1320
1278,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,10:45,14h 25m,1 stop,No info,8452.0,5,15,20,20,10,45,865
1279,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,22:35,26h 35m,1 stop,In-flight meal not included,10844.0,6,6,20,0,22,35,1595
1280,Vistara,Delhi,Cochin,DEL ? COK,06:00,09:10,3h 10m,non-stop,No info,4851.0,3,27,6,0,9,10,190
1281,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,19:00,01:30,6h 30m,1 stop,No info,6795.0,6,15,19,0,1,30,390
1282,IndiGo,Banglore,Delhi,BLR ? DEL,08:30,11:20,2h 50m,non-stop,No info,4823.0,5,18,8,30,11,20,170
1283,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,20:55,04:25,7h 30m,1 stop,In-flight meal not included,10577.0,6,9,20,55,4,25,450
1284,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,20:50,19:45,22h 55m,1 stop,No info,12032.0,3,27,20,50,19,45,1375
1285,Air Asia,Delhi,Cochin,DEL ? BLR ? COK,07:55,13:25,5h 30m,1 stop,No info,9330.0,6,1,7,55,13,25,330
1286,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,22:55,5h 55m,1 stop,No info,8977.0,4,1,17,0,22,55,355
1287,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,12:50,21:00,8h 10m,1 stop,No info,7005.0,6,1,12,50,21,0,490
1288,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,20:45,6h 40m,1 stop,In-flight meal not included,10844.0,5,18,14,5,20,45,400
1289,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,03:50,12:35,8h 45m,1 stop,No info,12192.0,6,24,3,50,12,35,525
1290,Air India,Banglore,New Delhi,BLR ? DEL,10:00,12:45,2h 45m,non-stop,No info,4441.0,3,24,10,0,12,45,165
1291,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,10:35,19:15,8h 40m,1 stop,No info,7575.0,5,9,10,35,19,15,520
1292,IndiGo,Kolkata,Banglore,CCU ? BLR,04:40,07:15,2h 35m,non-stop,No info,4804.0,6,21,4,40,7,15,155
1293,SpiceJet,Chennai,Kolkata,MAA ? CCU,09:45,12:00,2h 15m,non-stop,No info,3597.0,6,6,9,45,12,0,135
1294,Air India,Kolkata,Banglore,CCU ? DEL ? BLR,17:30,20:25,26h 55m,1 stop,No info,10413.0,6,6,17,30,20,25,1615
1295,Jet Airways,Banglore,Delhi,BLR ? DEL,06:00,08:45,2h 45m,non-stop,No info,8016.0,6,9,6,0,8,45,165
1296,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,12:00,16h,1 stop,In-flight meal not included,10844.0,6,9,20,0,12,0,960
1297,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,09:20,16h 50m,1 stop,In-flight meal not included,9663.0,5,12,16,30,9,20,1010
1298,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,20:25,01:30,5h 5m,1 stop,No info,6069.0,5,18,20,25,1,30,305
1299,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,11:55,22:30,10h 35m,1 stop,No info,6442.0,5,27,11,55,22,30,635
1300,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,09:00,21:00,12h,1 stop,No info,13587.0,6,1,9,0,21,0,720
1301,Air India,Mumbai,Hyderabad,BOM ? HYD,19:30,20:45,1h 15m,non-stop,No info,3100.0,5,9,19,30,20,45,75
1302,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,18:15,11h 45m,1 stop,No info,14781.0,5,21,6,30,18,15,705
1303,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,21:50,19:00,21h 10m,1 stop,In-flight meal not included,12898.0,5,21,21,50,19,0,1270
1304,IndiGo,Kolkata,Banglore,CCU ? BLR,14:25,16:55,2h 30m,non-stop,No info,4804.0,6,18,14,25,16,55,150
1305,SpiceJet,Kolkata,Banglore,CCU ? BLR,09:00,11:25,2h 25m,non-stop,No info,4174.0,4,15,9,0,11,25,145
1306,IndiGo,Banglore,Delhi,BLR ? DEL,23:30,02:20,2h 50m,non-stop,No info,4591.0,5,24,23,30,2,20,170
1307,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,19:50,27h 20m,1 stop,In-flight meal not included,9663.0,5,6,16,30,19,50,1640
1308,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,08:45,19:15,10h 30m,1 stop,No info,8266.0,5,15,8,45,19,15,630
1309,IndiGo,Banglore,Delhi,BLR ? DEL,07:10,10:05,2h 55m,non-stop,No info,4823.0,5,6,7,10,10,5,175
1310,Air India,Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,non-stop,No info,6094.0,5,21,18,5,21,10,185
1311,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,04:40,7h 30m,1 stop,No info,14178.0,5,24,21,10,4,40,450
1312,Jet Airways,Delhi,Cochin,DEL ? NAG ? BOM ? COK,06:45,12:35,29h 50m,2 stops,No info,13376.0,6,9,6,45,12,35,1790
1313,Air India,Mumbai,Hyderabad,BOM ? HYD,21:05,22:25,1h 20m,non-stop,No info,2575.0,3,24,21,5,22,25,80
1314,Vistara,Mumbai,Hyderabad,BOM ? DEL ? HYD,07:30,19:55,12h 25m,1 stop,No info,12395.0,3,6,7,30,19,55,745
1315,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,09:10,21:00,11h 50m,1 stop,No info,10351.0,3,27,9,10,21,0,710
1316,Air Asia,Kolkata,Banglore,CCU ? DEL ? BLR,07:35,23:30,15h 55m,1 stop,No info,5192.0,5,21,7,35,23,30,955
1317,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,12:50,21:00,8h 10m,1 stop,No info,7670.0,5,15,12,50,21,0,490
1318,Air India,Banglore,New Delhi,BLR ? CCU ? GAU ? DEL,11:05,22:10,35h 5m,2 stops,No info,11161.0,3,18,11,5,22,10,2105
1319,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,18:00,21h 35m,1 stop,No info,14151.0,5,24,20,25,18,0,1295
1320,IndiGo,Kolkata,Banglore,CCU ? HYD ? BLR,15:15,20:05,4h 50m,1 stop,No info,4775.0,5,6,15,15,20,5,290
1321,Air India,Delhi,Cochin,DEL ? HYD ? MAA ? COK,13:05,09:25,20h 20m,2 stops,No info,12865.0,3,6,13,5,9,25,1220
1322,Air India,Mumbai,Hyderabad,BOM ? HYD,19:30,20:45,1h 15m,non-stop,No info,5462.0,3,6,19,30,20,45,75
1323,SpiceJet,Delhi,Cochin,DEL ? MAA ? COK,06:10,11:20,5h 10m,1 stop,No info,8382.0,3,9,6,10,11,20,310
1324,Jet Airways,Banglore,Delhi,BLR ? DEL,17:45,20:45,3h,non-stop,In-flight meal not included,4544.0,4,24,17,45,20,45,180
1325,Jet Airways,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,4544.0,4,1,15,15,18,10,175
1326,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,23:35,7h 5m,1 stop,No info,14781.0,5,18,16,30,23,35,425
1327,SpiceJet,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,4h 30m,1 stop,No check-in baggage included,5158.0,5,27,8,45,13,15,270
1328,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,15:50,17:20,1h 30m,non-stop,No info,5678.0,3,21,15,50,17,20,90
1329,Jet Airways,Delhi,Cochin,DEL ? JDH ? BOM ? COK,11:40,19:00,7h 20m,2 stops,No info,18804.0,6,9,11,40,19,0,440
1330,IndiGo,Mumbai,Hyderabad,BOM ? HYD,09:10,10:40,1h 30m,non-stop,No info,4049.0,6,3,9,10,10,40,90
1331,IndiGo,Kolkata,Banglore,CCU ? BLR,10:10,12:55,2h 45m,non-stop,No info,6565.0,3,24,10,10,12,55,165
1332,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,18:15,12:35,18h 20m,1 stop,In-flight meal not included,12373.0,5,18,18,15,12,35,1100
1333,Air India,Banglore,New Delhi,BLR ? DEL,17:00,19:45,2h 45m,non-stop,No info,4441.0,3,18,17,0,19,45,165
1334,SpiceJet,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,non-stop,No info,3597.0,5,18,17,45,20,5,140
1335,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,non-stop,No info,5678.0,6,18,19,35,21,5,90
1336,Air India,Delhi,Cochin,DEL ? HYD ? MAA ? COK,09:45,09:25,23h 40m,2 stops,No info,10660.0,3,9,9,45,9,25,1420
1337,Jet Airways,Banglore,Delhi,BLR ? DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4544.0,4,21,6,0,8,45,165
1338,IndiGo,Banglore,Delhi,BLR ? DEL,08:30,11:20,2h 50m,non-stop,No info,4823.0,5,24,8,30,11,20,170
1339,Air India,Kolkata,Banglore,CCU ? VNS ? DEL ? BLR,14:30,23:15,8h 45m,2 stops,No info,14214.0,5,9,14,30,23,15,525
1340,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,16:20,7h 55m,1 stop,No info,14781.0,5,1,8,25,16,20,475
1341,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,19:00,01:35,6h 35m,1 stop,No info,23533.0,3,1,19,0,1,35,395
1342,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,19:15,18:50,23h 35m,1 stop,In-flight meal not included,14053.0,3,9,19,15,18,50,1415
1343,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,21:50,19:00,21h 10m,1 stop,In-flight meal not included,10262.0,6,27,21,50,19,0,1270
1344,IndiGo,Banglore,Delhi,BLR ? DEL,20:00,22:50,2h 50m,non-stop,No info,4823.0,6,21,20,0,22,50,170
1345,Air India,Delhi,Cochin,DEL ? BLR ? COK,17:40,08:15,14h 35m,1 stop,No info,8361.0,5,18,17,40,8,15,875
1346,Air India,Delhi,Cochin,DEL ? NAG ? BOM ? COK,05:55,19:15,37h 20m,2 stops,No info,10493.0,6,9,5,55,19,15,2240
1347,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,07:05,13:20,6h 15m,1 stop,No info,17057.0,3,3,7,5,13,20,375
1348,Air India,Delhi,Cochin,DEL ? HYD ? BOM ? COK,17:15,19:15,26h,2 stops,No info,12392.0,5,18,17,15,19,15,1560
1349,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,11:25,01:30,14h 5m,1 stop,No info,5883.0,6,12,11,25,1,30,845
1350,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,11:30,19:00,7h 30m,1 stop,In-flight meal not included,12898.0,5,21,11,30,19,0,450
1351,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,02:15,19:00,16h 45m,1 stop,No info,16079.0,5,21,2,15,19,0,1005
1352,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,04:55,12:35,7h 40m,1 stop,No info,10678.0,6,12,4,55,12,35,460
1353,Air India,Banglore,New Delhi,BLR ? BOM ? IDR ? DEL,06:45,11:10,28h 25m,2 stops,No info,20999.0,3,1,6,45,11,10,1705
1354,IndiGo,Banglore,New Delhi,BLR ? BOM ? DEL,19:35,00:35,5h,1 stop,No info,6575.0,3,21,19,35,0,35,300
1355,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,19:30,04:25,8h 55m,2 stops,No info,15129.0,5,21,19,30,4,25,535
1356,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,18:15,23h 20m,1 stop,In-flight meal not included,10844.0,6,6,18,55,18,15,1400
1357,Air India,Banglore,New Delhi,BLR ? BBI ? DEL,09:30,23:45,14h 15m,1 stop,No info,11654.0,3,3,9,30,23,45,855
1358,IndiGo,Kolkata,Banglore,CCU ? MAA ? BLR,08:10,13:00,4h 50m,1 stop,No info,5069.0,4,1,8,10,13,0,290
1359,Air India,Banglore,Delhi,BLR ? DEL,06:10,08:55,2h 45m,non-stop,No info,5176.0,4,1,6,10,8,55,165
1360,Jet Airways,Delhi,Cochin,DEL ? IDR ? BOM ? COK,05:30,04:25,22h 55m,2 stops,No info,13292.0,6,9,5,30,4,25,1375
1361,IndiGo,Delhi,Cochin,DEL ? BLR ? COK,02:00,07:45,5h 45m,1 stop,No info,6386.0,6,6,2,0,7,45,345
1362,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,13:25,19:00,29h 35m,2 stops,No info,15129.0,5,21,13,25,19,0,1775
1363,Air India,Kolkata,Banglore,CCU ? BLR,20:45,23:20,2h 35m,non-stop,No info,4435.0,3,6,20,45,23,20,155
1364,IndiGo,Banglore,Delhi,BLR ? DEL,23:30,02:20,2h 50m,non-stop,No info,4591.0,5,18,23,30,2,20,170
1365,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,05:45,23:00,17h 15m,1 stop,In-flight meal not included,7832.0,3,21,5,45,23,0,1035
1366,IndiGo,Kolkata,Banglore,CCU ? BLR,04:40,07:15,2h 35m,non-stop,No info,4174.0,4,12,4,40,7,15,155
1367,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,07:00,15:30,8h 30m,1 stop,No info,6148.0,3,27,7,0,15,30,510
1368,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,09:15,19:15,10h,1 stop,No info,9149.0,5,27,9,15,19,15,600
1369,Multiple carriers,Delhi,Cochin,DEL ? HYD ? MAA ? COK,13:05,21:20,8h 15m,2 stops,No info,6128.0,3,27,13,5,21,20,495
1370,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,16:10,22:20,6h 10m,1 stop,No info,6412.0,3,27,16,10,22,20,370
1371,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,08:00,21:00,13h,1 stop,No info,8073.0,5,18,8,0,21,0,780
1372,Jet Airways,Delhi,Cochin,DEL ? COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,4256.0,6,24,11,0,14,15,195
1373,Air India,Kolkata,Banglore,CCU ? DEL ? AMD ? BLR,10:00,05:25,19h 25m,2 stops,No info,14634.0,5,12,10,0,5,25,1165
1374,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,13:00,21:00,8h,1 stop,No info,14067.0,5,21,13,0,21,0,480
1375,IndiGo,Kolkata,Banglore,CCU ? BLR,15:30,18:05,2h 35m,non-stop,No info,4804.0,5,6,15,30,18,5,155
1376,SpiceJet,Kolkata,Banglore,CCU ? BLR,17:10,19:40,2h 30m,non-stop,No info,4911.0,4,21,17,10,19,40,150
1377,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,16:10,22:30,6h 20m,1 stop,No info,6412.0,6,9,16,10,22,30,380
1378,SpiceJet,Chennai,Kolkata,MAA ? CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3543.0,6,15,8,20,10,35,135
1379,IndiGo,Chennai,Kolkata,MAA ? CCU,11:35,14:00,2h 25m,non-stop,No info,3858.0,6,6,11,35,14,0,145
1380,Air India,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,07:55,19h 55m,2 stops,No info,9941.0,5,15,12,0,7,55,1195
1381,Jet Airways,Banglore,Delhi,BLR ? DEL,08:20,11:20,3h,non-stop,No info,7229.0,4,9,8,20,11,20,180
1382,GoAir,Banglore,New Delhi,BLR ? GOI ? DEL,15:45,20:15,4h 30m,1 stop,No info,8352.0,3,3,15,45,20,15,270
1383,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,22:05,12h 30m,1 stop,No info,14151.0,5,12,9,35,22,5,750
1384,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,17:45,01:30,7h 45m,1 stop,No info,6795.0,6,6,17,45,1,30,465
1385,IndiGo,Kolkata,Banglore,CCU ? BLR,20:20,22:55,2h 35m,non-stop,No info,4804.0,5,3,20,20,22,55,155
1386,Air India,Delhi,Cochin,DEL ? TRV ? COK,05:15,06:50,25h 35m,1 stop,No info,6587.0,6,6,5,15,6,50,1535
1387,GoAir,Delhi,Cochin,DEL ? AMD ? COK,07:25,13:35,6h 10m,1 stop,No info,4106.0,4,3,7,25,13,35,370
1388,Air India,Kolkata,Banglore,CCU ? BLR,14:15,16:45,2h 30m,non-stop,No info,5510.0,4,18,14,15,16,45,150
1389,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,19:00,9h 20m,2 stops,No info,15129.0,5,9,9,40,19,0,560
1390,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,04:25,18h 45m,2 stops,In-flight meal not included,13029.0,5,9,9,40,4,25,1125
1391,IndiGo,Delhi,Cochin,DEL ? MAA ? COK,07:15,12:30,5h 15m,1 stop,No info,6582.0,6,15,7,15,12,30,315
1392,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,17:45,01:30,7h 45m,1 stop,In-flight meal not included,5797.0,6,27,17,45,1,30,465
1393,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,10:55,14h 30m,1 stop,No info,12692.0,6,12,20,25,10,55,870
1394,SpiceJet,Chennai,Kolkata,MAA ? CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3332.0,3,27,8,20,10,35,135
1395,Air India,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,07:55,19h 55m,2 stops,No info,10151.0,6,9,12,0,7,55,1195
1396,IndiGo,Delhi,Cochin,DEL ? MAA ? COK,02:00,07:25,5h 25m,1 stop,No info,5046.0,4,6,2,0,7,25,325
1397,Air India,Delhi,Cochin,DEL ? BLR ? COK,06:10,23:00,16h 50m,1 stop,No info,8907.0,6,15,6,10,23,0,1010
1398,Air India,Banglore,Delhi,BLR ? DEL,21:05,23:55,2h 50m,non-stop,No info,5228.0,5,6,21,5,23,55,170
1399,IndiGo,Delhi,Cochin,DEL ? LKO ? COK,05:35,10:10,4h 35m,1 stop,No info,13753.0,3,3,5,35,10,10,275
1400,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,08:55,21:20,12h 25m,1 stop,In-flight meal not included,11087.0,3,9,8,55,21,20,745
1401,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,23:35,9h 30m,1 stop,No info,14781.0,5,18,14,5,23,35,570
1402,IndiGo,Kolkata,Banglore,CCU ? BLR,11:30,14:05,2h 35m,non-stop,No info,5224.0,5,6,11,30,14,5,155
1403,Jet Airways,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,3702.0,5,6,15,15,18,10,175
1404,IndiGo,Mumbai,Hyderabad,BOM ? HYD,19:05,20:30,1h 25m,non-stop,No info,2754.0,3,18,19,5,20,30,85
1405,Air Asia,Banglore,Delhi,BLR ? DEL,11:10,13:55,2h 45m,non-stop,No info,3383.0,5,24,11,10,13,55,165
1406,Air India,Banglore,Delhi,BLR ? DEL,13:20,16:10,2h 50m,non-stop,No info,5228.0,4,15,13,20,16,10,170
1407,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,20:25,01:30,5h 5m,1 stop,No info,5054.0,5,27,20,25,1,30,305
1408,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,08:55,19:10,10h 15m,1 stop,No info,13555.0,3,18,8,55,19,10,615
1409,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,17:00,01:30,8h 30m,1 stop,No info,7408.0,6,1,17,0,1,30,510
1410,IndiGo,Kolkata,Banglore,CCU ? BLR,14:25,16:55,2h 30m,non-stop,No info,5224.0,5,24,14,25,16,55,150
1411,IndiGo,Banglore,New Delhi,BLR ? HYD ? DEL,12:10,17:05,4h 55m,1 stop,No info,9694.0,3,1,12,10,17,5,295
1412,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,17:10,01:35,8h 25m,1 stop,No info,7318.0,3,21,17,10,1,35,505
1413,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,07:35,12:10,4h 35m,1 stop,No info,5054.0,5,21,7,35,12,10,275
1414,Jet Airways,Banglore,Delhi,BLR ? DEL,18:55,22:00,3h 5m,non-stop,In-flight meal not included,4030.0,5,1,18,55,22,0,185
1415,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,08:00,18:25,10h 25m,1 stop,No info,16736.0,3,6,8,0,18,25,625
1416,Air India,Mumbai,Hyderabad,BOM ? HYD,19:30,20:45,1h 15m,non-stop,No info,2050.0,3,18,19,30,20,45,75
1417,Air India,Mumbai,Hyderabad,BOM ? AMD ? ISK ? HYD,01:35,14:50,13h 15m,2 stops,No info,9977.0,3,12,1,35,14,50,795
1418,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,04:25,22h 55m,2 stops,In-flight meal not included,10368.0,6,6,5,30,4,25,1375
1419,IndiGo,Delhi,Cochin,DEL ? AMD ? COK,07:45,13:40,5h 55m,1 stop,No info,6755.0,3,9,7,45,13,40,355
1420,Jet Airways,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,3502.0,5,15,15,15,18,10,175
1421,Air India,Banglore,Delhi,BLR ? DEL,10:00,12:45,2h 45m,non-stop,No info,6961.0,6,24,10,0,12,45,165
1422,Jet Airways,Banglore,Delhi,BLR ? DEL,15:50,18:45,2h 55m,non-stop,In-flight meal not included,4544.0,4,9,15,50,18,45,175
1423,SpiceJet,Kolkata,Banglore,CCU ? BLR,14:55,17:25,2h 30m,non-stop,No check-in baggage included,3841.0,5,18,14,55,17,25,150
1424,Jet Airways,Mumbai,Hyderabad,BOM ? DED ? DEL ? HYD,14:20,16:50,26h 30m,2 stops,No info,24115.0,3,6,14,20,16,50,1590
1425,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,09:05,25h 55m,1 stop,No info,9502.0,5,24,7,10,9,5,1555
1426,Air India,Mumbai,Hyderabad,BOM ? HYD,06:20,07:40,1h 20m,non-stop,No info,3100.0,4,1,6,20,7,40,80
1427,SpiceJet,Banglore,Delhi,BLR ? DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,4319.0,4,15,5,55,8,35,160
1428,IndiGo,Mumbai,Hyderabad,BOM ? HYD,20:05,21:40,1h 35m,non-stop,No info,2227.0,5,1,20,5,21,40,95
1429,SpiceJet,Kolkata,Banglore,CCU ? BLR,22:20,00:40,2h 20m,non-stop,No info,5831.0,3,24,22,20,0,40,140
1430,IndiGo,Kolkata,Banglore,CCU ? BLR,21:25,00:05,2h 40m,non-stop,No info,4804.0,6,9,21,25,0,5,160
1431,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,07:35,12:10,4h 35m,1 stop,No info,5458.0,6,6,7,35,12,10,275
1432,Jet Airways,Banglore,Delhi,BLR ? DEL,18:55,22:00,3h 5m,non-stop,In-flight meal not included,7229.0,6,9,18,55,22,0,185
1433,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,10:05,15h 10m,1 stop,No info,14571.0,6,6,18,55,10,5,910
1434,SpiceJet,Banglore,Delhi,BLR ? DEL,21:10,00:05,2h 55m,non-stop,No check-in baggage included,3919.0,6,9,21,10,0,5,175
1435,Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,07:05,16:10,9h 5m,1 stop,No info,6916.0,3,9,7,5,16,10,545
