,Airline,Source,Destination,Total_Stops,Additional_Info,Price,Journey_Month,Journey_Day,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute,Duration_mins,Price_per_minute,Route_1,Route_2,Route_3,Route_4,Route_5,Route_6
2926,Multiple carriers,Delhi,Cochin,1 stop,No info,13677,3,9,6,0,21,0,900,15.196666666666667,DEL,BOM,COK,None,None,None
2927,Air India,Delhi,Cochin,1 stop,No info,7480,5,27,6,5,9,25,1640,4.560975609756097,DEL,MAA,COK,None,None,None
2928,Air India,Delhi,Cochin,1 stop,No info,8372,6,24,19,0,7,40,760,11.01578947368421,DEL,BOM,COK,None,None,None
2929,Jet Airways,Delhi,Cochin,2 stops,No info,11664,3,27,5,25,4,25,1380,8.452173913043477,DEL,IDR,BOM,COK,None,None
2930,Air India,Banglore,Delhi,non-stop,No info,6961,6,18,10,0,12,45,165,42.18787878787879,BLR,DEL,None,None,None,None
2931,Air India,Banglore,Delhi,non-stop,No info,6121,4,24,17,0,19,45,165,37.096969696969694,BLR,DEL,None,None,None,None
2932,Air India,Banglore,Delhi,non-stop,No info,5911,4,12,6,10,8,55,165,35.82424242424243,BLR,DEL,None,None,None,None
2933,GoAir,Banglore,Delhi,non-stop,No info,3398,5,6,11,40,14,30,170,19.988235294117647,BLR,DEL,None,None,None,None
2934,Multiple carriers,Delhi,Cochin,1 stop,No info,7530,6,9,19,0,1,30,390,19.307692307692307,DEL,BOM,COK,None,None,None
2935,GoAir,Banglore,Delhi,non-stop,No info,3419,5,24,20,55,23,40,165,20.721212121212123,BLR,DEL,None,None,None,None
2936,Vistara,Banglore,New Delhi,non-stop,No info,6558,3,24,21,10,0,5,175,37.47428571428571,BLR,DEL,None,None,None,None
2937,Air India,Kolkata,Banglore,1 stop,No info,10203,6,9,20,30,20,25,1435,7.1101045296167245,CCU,DEL,BLR,None,None,None
2938,Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087,3,12,18,55,20,20,1525,7.27016393442623,BLR,BOM,DEL,None,None,None
2939,SpiceJet,Banglore,New Delhi,non-stop,No info,5575,3,24,20,30,23,20,170,32.794117647058826,BLR,DEL,None,None,None,None
2940,Air Asia,Delhi,Cochin,1 stop,No info,6152,4,24,7,55,22,25,870,7.071264367816092,DEL,BLR,COK,None,None,None
2941,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,5608,5,9,10,20,17,35,435,12.891954022988505,CCU,GAU,BLR,None,None,None
2942,Jet Airways,Banglore,New Delhi,1 stop,No info,17261,3,6,11,40,10,25,1365,12.645421245421245,BLR,BOM,DEL,None,None,None
2943,Jet Airways,Delhi,Cochin,2 stops,No info,15129,5,9,9,40,12,35,1615,9.367801857585139,DEL,JAI,BOM,COK,None,None
2944,GoAir,Banglore,Delhi,non-stop,No info,3419,5,6,20,55,23,40,165,20.721212121212123,BLR,DEL,None,None,None,None
2945,IndiGo,Delhi,Cochin,1 stop,No info,6218,3,21,10,45,15,30,285,21.817543859649124,DEL,BOM,COK,None,None,None
2946,Jet Airways,Delhi,Cochin,1 stop,No info,14714,6,3,2,15,12,35,620,23.732258064516127,DEL,BOM,COK,None,None,None
2947,Multiple carriers,Delhi,Cochin,1 stop,No info,14848,6,3,11,30,19,15,465,31.931182795698923,DEL,BOM,COK,None,None,None
2948,Jet Airways,Kolkata,Banglore,1 stop,No info,9358,5,12,10,20,17,35,435,21.51264367816092,CCU,GAU,BLR,None,None,None
2949,Air India,Kolkata,Banglore,1 stop,No info,8366,5,6,9,25,7,55,1350,6.197037037037037,CCU,BOM,BLR,None,None,None
2950,Multiple carriers,Delhi,Cochin,1 stop,In-flight meal not included,15342,3,6,11,30,19,15,465,32.99354838709677,DEL,BOM,COK,None,None,None
2951,Jet Airways,Mumbai,Hyderabad,non-stop,No info,5678,3,21,3,5,4,25,80,70.975,BOM,HYD,None,None,None,None
2952,IndiGo,Kolkata,Banglore,non-stop,No info,4804,5,6,22,15,0,50,155,30.993548387096773,CCU,BLR,None,None,None,None
2953,Jet Airways,Kolkata,Banglore,1 stop,No info,14571,5,24,8,25,16,20,475,30.675789473684212,CCU,BOM,BLR,None,None,None
2954,Jet Airways,Kolkata,Banglore,1 stop,No info,12681,4,1,8,25,20,45,740,17.136486486486486,CCU,BOM,BLR,None,None,None
2955,Jet Airways,Banglore,New Delhi,1 stop,No info,17261,3,6,21,25,10,25,780,22.129487179487178,BLR,BOM,DEL,None,None,None
2956,Vistara,Kolkata,Banglore,1 stop,No info,9922,6,9,17,0,10,45,1065,9.316431924882629,CCU,DEL,BLR,None,None,None
2957,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,5,18,18,55,12,0,1025,10.579512195121952,CCU,BOM,BLR,None,None,None
2958,SpiceJet,Banglore,Delhi,non-stop,No info,4423,4,21,5,55,8,35,160,27.64375,BLR,DEL,None,None,None,None
2959,IndiGo,Banglore,Delhi,non-stop,No info,3419,5,24,1,30,4,15,165,20.721212121212123,BLR,DEL,None,None,None,None
2960,Jet Airways,Delhi,Cochin,1 stop,No info,14714,6,24,22,50,4,25,335,43.92238805970149,DEL,BOM,COK,None,None,None
2961,Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087,3,9,5,45,11,25,340,32.608823529411765,BLR,BOM,DEL,None,None,None
2962,IndiGo,Delhi,Cochin,1 stop,No info,6316,6,27,16,0,1,30,570,11.080701754385965,DEL,BOM,COK,None,None,None
2963,SpiceJet,Chennai,Kolkata,non-stop,No check-in baggage included,3543,5,27,9,45,12,0,135,26.244444444444444,MAA,CCU,None,None,None,None
2964,Jet Airways,Kolkata,Banglore,1 stop,No info,14571,6,6,18,55,12,0,1025,14.21560975609756,CCU,BOM,BLR,None,None,None
2965,Jet Airways,Kolkata,Banglore,1 stop,No info,14676,6,9,9,35,18,0,505,29.061386138613862,CCU,DEL,BLR,None,None,None
2966,Jet Airways,Banglore,New Delhi,1 stop,No info,17261,3,6,16,55,9,30,995,17.34773869346734,BLR,BOM,DEL,None,None,None
2967,Jet Airways,Kolkata,Banglore,1 stop,No info,13941,5,15,8,25,23,35,910,15.31978021978022,CCU,BOM,BLR,None,None,None
2968,Air India,Delhi,Cochin,1 stop,No info,13348,3,3,6,10,8,15,1565,8.529073482428116,DEL,BLR,COK,None,None,None
2969,Jet Airways,Banglore,Delhi,non-stop,No info,8016,6,18,11,10,14,5,175,45.80571428571429,BLR,DEL,None,None,None,None
2970,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898,5,27,7,5,12,35,330,39.084848484848486,DEL,BOM,COK,None,None,None
2971,Jet Airways,Banglore,Delhi,non-stop,No info,7229,4,9,18,55,22,0,185,39.075675675675676,BLR,DEL,None,None,None,None
2972,SpiceJet,Mumbai,Hyderabad,non-stop,No info,2017,6,27,5,45,7,15,90,22.41111111111111,BOM,HYD,None,None,None,None
2973,Jet Airways,Banglore,New Delhi,1 stop,No info,16736,3,6,8,0,19,10,670,24.97910447761194,BLR,BOM,DEL,None,None,None
2974,SpiceJet,Kolkata,Banglore,non-stop,No info,3873,6,18,17,10,19,40,150,25.82,CCU,BLR,None,None,None,None
2975,IndiGo,Delhi,Cochin,1 stop,No info,6704,5,9,14,20,22,30,490,13.681632653061225,DEL,HYD,COK,None,None,None
2976,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,6,6,18,55,19,50,1495,7.253511705685619,CCU,BOM,BLR,None,None,None
2977,Vistara,Banglore,New Delhi,non-stop,No info,7450,3,9,19,40,22,20,160,46.5625,BLR,DEL,None,None,None,None
2978,Jet Airways,Banglore,New Delhi,1 stop,No info,16736,3,6,16,55,5,5,730,22.926027397260274,BLR,BOM,DEL,None,None,None
2979,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,6,15,15,0,12,35,1295,7.924324324324324,DEL,BOM,COK,None,None,None
2980,Air India,Kolkata,Banglore,2 stops,No info,10991,5,1,5,50,16,15,2065,5.322518159806296,CCU,IXR,DEL,BLR,None,None
2981,SpiceJet,Banglore,Delhi,non-stop,No info,3311,6,6,21,10,0,5,175,18.92,BLR,DEL,None,None,None,None
2982,IndiGo,Delhi,Cochin,1 stop,No info,7081,5,24,10,35,1,30,895,7.911731843575419,DEL,BOM,COK,None,None,None
2983,IndiGo,Banglore,Delhi,non-stop,No info,3943,4,27,21,15,0,15,180,21.905555555555555,BLR,DEL,None,None,None,None
2984,Air India,Delhi,Cochin,1 stop,No info,8372,5,21,13,0,19,15,375,22.325333333333333,DEL,BOM,COK,None,None,None
2985,Air India,Delhi,Cochin,2 stops,No info,11701,3,9,19,45,19,15,1410,8.298581560283688,DEL,AMD,BOM,COK,None,None
2986,Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,5769,6,3,15,15,18,10,175,32.965714285714284,BLR,DEL,None,None,None,None
2987,Multiple carriers,Delhi,Cochin,2 stops,No info,15965,6,12,15,5,1,30,625,25.544,DEL,IDR,BOM,COK,None,None
2988,SpiceJet,Banglore,Delhi,non-stop,No info,4423,6,12,9,30,12,20,170,26.01764705882353,BLR,DEL,None,None,None,None
2989,Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,6136,3,15,9,45,14,25,280,21.914285714285715,BLR,MAA,DEL,None,None,None
2990,Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087,3,12,16,55,23,0,365,30.375342465753423,BLR,BOM,DEL,None,None,None
2991,IndiGo,Chennai,Kolkata,non-stop,No info,3540,6,3,5,15,7,40,145,24.413793103448278,MAA,CCU,None,None,None,None
2992,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898,5,21,14,0,4,25,865,14.910982658959538,DEL,BOM,COK,None,None,None
2993,IndiGo,Banglore,Delhi,non-stop,No info,4591,4,18,6,5,8,50,165,27.824242424242424,BLR,DEL,None,None,None,None
2994,Air India,Delhi,Cochin,1 stop,No info,8635,3,24,4,0,7,40,1660,5.201807228915663,DEL,BOM,COK,None,None,None
2995,Jet Airways,Delhi,Cochin,1 stop,No info,14714,6,27,9,0,19,0,600,24.523333333333333,DEL,BOM,COK,None,None,None
2996,Jet Airways,Kolkata,Banglore,1 stop,No info,14151,5,18,20,25,19,10,1365,10.367032967032968,CCU,DEL,BLR,None,None,None
2997,Multiple carriers,Delhi,Cochin,1 stop,No info,8835,6,1,4,55,19,15,860,10.273255813953488,DEL,BOM,COK,None,None,None
2998,Air India,Kolkata,Banglore,1 stop,No info,11936,5,21,17,30,8,55,925,12.903783783783783,CCU,DEL,BLR,None,None,None
2999,Jet Airways,Delhi,Cochin,2 stops,No info,13882,6,9,21,35,12,35,900,15.424444444444445,DEL,LKO,BOM,COK,None,None
3000,Air India,Delhi,Cochin,1 stop,No info,5117,4,1,17,20,9,25,965,5.302590673575129,DEL,MAA,COK,None,None,None
3001,Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,4544,5,24,15,15,18,10,175,25.965714285714284,BLR,DEL,None,None,None,None
3002,IndiGo,Delhi,Cochin,1 stop,No info,6442,5,15,6,50,22,30,940,6.853191489361702,DEL,HYD,COK,None,None,None
3003,Air India,Delhi,Cochin,2 stops,No info,10441,5,9,22,0,19,15,1275,8.189019607843138,DEL,GOI,BOM,COK,None,None
3004,IndiGo,Mumbai,Hyderabad,non-stop,No info,2227,5,21,20,5,21,40,95,23.442105263157895,BOM,HYD,None,None,None,None
3005,Jet Airways,Banglore,Delhi,non-stop,No info,7229,4,15,6,0,8,45,165,43.81212121212121,BLR,DEL,None,None,None,None
3006,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,6,1,13,0,19,0,360,28.505555555555556,DEL,BOM,COK,None,None,None
3007,Jet Airways,Banglore,New Delhi,1 stop,No info,13817,3,12,8,0,21,20,800,17.27125,BLR,BOM,DEL,None,None,None
3008,SpiceJet,Delhi,Cochin,1 stop,No info,5975,5,21,17,55,22,50,295,20.25423728813559,DEL,BLR,COK,None,None,None
3009,IndiGo,Kolkata,Banglore,non-stop,No info,4148,3,21,21,25,0,5,160,25.925,CCU,BLR,None,None,None,None
3010,Multiple carriers,Delhi,Cochin,1 stop,No info,13587,6,6,11,30,21,0,570,23.83684210526316,DEL,BOM,COK,None,None,None
3011,Jet Airways,Mumbai,Hyderabad,non-stop,In-flight meal not included,2759,3,21,3,5,4,25,80,34.4875,BOM,HYD,None,None,None,None
3012,Jet Airways,Banglore,Delhi,non-stop,No info,7229,5,15,19,50,22,50,180,40.16111111111111,BLR,DEL,None,None,None,None
3013,Air India,Delhi,Cochin,2 stops,No info,13547,5,9,7,5,7,40,1475,9.184406779661018,DEL,HYD,BOM,COK,None,None
3014,SpiceJet,Kolkata,Banglore,non-stop,No info,3873,6,21,6,55,9,30,155,24.98709677419355,CCU,BLR,None,None,None,None
3015,Jet Airways,Kolkata,Banglore,1 stop,No info,14388,5,21,16,30,4,40,730,19.70958904109589,CCU,BOM,BLR,None,None,None
3016,Jet Airways,Kolkata,Banglore,1 stop,No info,13731,5,24,18,55,10,5,910,15.089010989010989,CCU,BOM,BLR,None,None,None
3017,SpiceJet,Kolkata,Banglore,non-stop,No check-in baggage included,3815,3,27,6,55,9,35,160,23.84375,CCU,BLR,None,None,None,None
3018,Jet Airways,Mumbai,Hyderabad,non-stop,No info,5678,3,15,15,50,17,20,90,63.08888888888889,BOM,HYD,None,None,None,None
3019,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663,5,9,8,25,9,20,1495,6.463545150501672,CCU,BOM,BLR,None,None,None
3020,GoAir,Kolkata,Banglore,1 stop,No info,8855,5,21,16,40,0,15,455,19.46153846153846,CCU,AMD,BLR,None,None,None
3021,Jet Airways,Delhi,Cochin,2 stops,No info,15129,5,9,9,40,4,25,1125,13.448,DEL,JAI,BOM,COK,None,None
3022,Jet Airways,Banglore,New Delhi,1 stop,No info,13555,3,18,16,55,23,0,365,37.136986301369866,BLR,BOM,DEL,None,None,None
3023,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,5,21,21,10,8,15,665,16.306766917293235,CCU,BOM,BLR,None,None,None
3024,Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,7832,3,21,11,40,21,20,580,13.50344827586207,BLR,BOM,DEL,None,None,None
3025,Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,11150,6,27,23,5,12,35,810,13.765432098765432,DEL,AMD,BOM,COK,None,None
3026,Vistara,Kolkata,Banglore,1 stop,No info,8452,5,9,20,20,10,45,865,9.771098265895954,CCU,DEL,BLR,None,None,None
3027,Multiple carriers,Delhi,Cochin,1 stop,No info,9646,6,9,9,45,16,10,385,25.054545454545455,DEL,HYD,COK,None,None,None
3028,IndiGo,Banglore,Delhi,non-stop,No info,3943,6,24,10,10,13,0,170,23.194117647058825,BLR,DEL,None,None,None,None
3029,GoAir,Delhi,Cochin,1 stop,No info,5281,6,12,7,0,12,55,355,14.87605633802817,DEL,BOM,COK,None,None,None
3030,Air India,Delhi,Cochin,2 stops,No info,14667,6,1,17,15,7,40,865,16.95606936416185,DEL,HYD,BOM,COK,None,None
3031,Jet Airways,Kolkata,Banglore,1 stop,No info,14571,5,24,20,0,9,20,800,18.21375,CCU,BOM,BLR,None,None,None
3032,Jet Airways,Banglore,New Delhi,1 stop,Business class,28097,3,1,5,50,12,20,390,72.04358974358975,BLR,BDQ,DEL,None,None,None
3033,Jet Airways,Banglore,New Delhi,1 stop,No info,17471,3,6,20,35,19,10,1355,12.893726937269372,BLR,BOM,DEL,None,None,None
3034,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10577,6,12,8,0,19,0,660,16.025757575757577,DEL,BOM,COK,None,None,None
3035,Multiple carriers,Delhi,Cochin,1 stop,No info,14848,6,24,11,30,19,15,465,31.931182795698923,DEL,BOM,COK,None,None,None
3036,IndiGo,Banglore,Delhi,non-stop,No info,4591,4,15,23,30,2,20,170,27.00588235294118,BLR,DEL,None,None,None,None
3037,IndiGo,Chennai,Kolkata,non-stop,No info,3597,5,18,19,35,21,55,140,25.692857142857143,MAA,CCU,None,None,None,None
3038,IndiGo,Delhi,Cochin,1 stop,No info,6938,5,27,16,10,22,30,380,18.257894736842104,DEL,HYD,COK,None,None,None
3039,Air Asia,Kolkata,Banglore,non-stop,No info,3807,6,24,19,55,22,25,150,25.38,CCU,BLR,None,None,None,None
3040,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,6,12,9,0,19,0,600,17.10333333333333,DEL,BOM,COK,None,None,None
3041,Air India,Kolkata,Banglore,2 stops,No info,11432,5,9,8,20,20,25,725,15.768275862068965,CCU,JAI,DEL,BLR,None,None
3042,Jet Airways,Banglore,New Delhi,non-stop,No info,7229,3,21,19,55,22,35,160,45.18125,BLR,DEL,None,None,None,None
3043,Multiple carriers,Delhi,Cochin,1 stop,No info,14848,5,21,11,30,19,15,465,31.931182795698923,DEL,BOM,COK,None,None,None
3044,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,8586,5,15,6,30,23,35,1025,8.376585365853659,CCU,BOM,BLR,None,None,None
3045,Multiple carriers,Delhi,Cochin,1 stop,No info,6106,4,9,10,35,19,15,520,11.742307692307692,DEL,BOM,COK,None,None,None
3046,SpiceJet,Kolkata,Banglore,non-stop,No info,3873,5,3,22,20,0,40,140,27.664285714285715,CCU,BLR,None,None,None,None
3047,Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,15812,6,15,11,40,19,0,440,35.93636363636364,DEL,JDH,BOM,COK,None,None
3048,Jet Airways,Kolkata,Banglore,1 stop,No info,12121,5,24,20,25,14,25,1080,11.223148148148148,CCU,DEL,BLR,None,None,None
3049,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,8586,5,12,6,30,19,50,800,10.7325,CCU,BOM,BLR,None,None,None
3050,Multiple carriers,Delhi,Cochin,1 stop,No info,7354,6,12,7,30,19,15,705,10.431205673758866,DEL,BOM,COK,None,None,None
3051,IndiGo,Kolkata,Banglore,non-stop,No info,4778,3,6,21,25,0,5,160,29.8625,CCU,BLR,None,None,None,None
3052,IndiGo,Delhi,Cochin,1 stop,No info,6838,6,9,8,30,21,0,750,9.117333333333333,DEL,BOM,COK,None,None,None
3053,Multiple carriers,Delhi,Cochin,1 stop,No info,10276,3,6,9,45,22,20,755,13.610596026490066,DEL,HYD,COK,None,None,None
3054,Jet Airways,Banglore,Delhi,non-stop,No info,8016,6,18,8,20,11,20,180,44.53333333333333,BLR,DEL,None,None,None,None
3055,Air India,Banglore,New Delhi,1 stop,No info,4943,3,21,8,15,18,30,615,8.03739837398374,BLR,HYD,DEL,None,None,None
3056,IndiGo,Banglore,Delhi,non-stop,No info,4823,6,24,8,30,11,20,170,28.370588235294118,BLR,DEL,None,None,None,None
3057,Jet Airways,Kolkata,Banglore,1 stop,No info,12996,4,1,8,25,16,20,475,27.36,CCU,BOM,BLR,None,None,None
3058,Air India,Delhi,Cochin,1 stop,No info,9929,5,27,9,0,19,15,615,16.14471544715447,DEL,BOM,COK,None,None,None
3059,Multiple carriers,Delhi,Cochin,1 stop,No info,9508,6,3,10,0,1,30,930,10.223655913978495,DEL,BOM,COK,None,None,None
3060,Air India,Delhi,Cochin,non-stop,No info,5674,3,21,18,5,21,10,185,30.67027027027027,DEL,COK,None,None,None,None
3061,IndiGo,Chennai,Kolkata,non-stop,No info,3858,6,18,11,35,14,0,145,26.606896551724137,MAA,CCU,None,None,None,None
3062,IndiGo,Kolkata,Banglore,non-stop,No info,4804,5,24,22,15,0,50,155,30.993548387096773,CCU,BLR,None,None,None,None
3063,Multiple carriers,Delhi,Cochin,1 stop,No info,13377,5,27,14,0,1,30,690,19.38695652173913,DEL,BOM,COK,None,None,None
3064,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898,5,27,15,0,4,25,805,16.022360248447207,DEL,BOM,COK,None,None,None
3065,Air Asia,Kolkata,Banglore,non-stop,No info,4409,6,1,10,20,12,55,155,28.44516129032258,CCU,BLR,None,None,None,None
3066,Air Asia,Delhi,Cochin,1 stop,No info,8759,6,1,7,55,22,25,870,10.067816091954024,DEL,BLR,COK,None,None,None
3067,Air India,Banglore,New Delhi,1 stop,No info,10394,3,3,0,30,23,55,1405,7.397864768683274,BLR,AMD,DEL,None,None,None
3068,IndiGo,Chennai,Kolkata,non-stop,No info,3858,3,18,11,35,14,0,145,26.606896551724137,MAA,CCU,None,None,None,None
3069,Air Asia,Delhi,Cochin,1 stop,No info,6253,6,15,7,55,13,25,330,18.94848484848485,DEL,BLR,COK,None,None,None
3070,Jet Airways,Delhi,Cochin,2 stops,No info,15129,5,27,19,10,12,35,1045,14.477511961722488,DEL,AMD,BOM,COK,None,None
3071,GoAir,Kolkata,Banglore,1 stop,No info,4773,3,24,6,35,14,25,470,10.15531914893617,CCU,HYD,BLR,None,None,None
3072,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663,5,21,6,30,9,20,1610,6.001863354037267,CCU,BOM,BLR,None,None,None
3073,Jet Airways,Kolkata,Banglore,1 stop,No info,12692,6,12,17,0,9,45,1005,12.628855721393036,CCU,DEL,BLR,None,None,None
3074,IndiGo,Banglore,Delhi,non-stop,No info,3943,6,6,1,30,4,15,165,23.8969696969697,BLR,DEL,None,None,None,None
3075,Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10703,5,12,17,0,21,5,1685,6.351928783382789,CCU,DEL,BLR,None,None,None
3076,IndiGo,Delhi,Cochin,1 stop,No info,8784,3,27,6,40,21,0,860,10.213953488372093,DEL,BOM,COK,None,None,None
3077,Multiple carriers,Delhi,Cochin,1 stop,No info,11622,6,9,9,15,19,0,585,19.866666666666667,DEL,BOM,COK,None,None,None
3078,IndiGo,Chennai,Kolkata,non-stop,No info,5277,5,24,22,5,0,25,140,37.69285714285714,MAA,CCU,None,None,None,None
3079,Air Asia,Delhi,Cochin,1 stop,No info,8327,5,21,16,45,7,10,865,9.626589595375723,DEL,BLR,COK,None,None,None
3080,IndiGo,Delhi,Cochin,non-stop,No info,6885,3,9,5,35,8,50,195,35.30769230769231,DEL,COK,None,None,None,None
3081,Jet Airways,Banglore,Delhi,non-stop,No info,8016,6,12,17,45,20,45,180,44.53333333333333,BLR,DEL,None,None,None,None
3082,IndiGo,Delhi,Cochin,1 stop,No info,10112,6,1,23,30,4,35,305,33.15409836065574,DEL,PNQ,COK,None,None,None
3083,IndiGo,Delhi,Cochin,1 stop,No info,14871,3,6,17,30,1,35,485,30.661855670103094,DEL,BOM,COK,None,None,None
3084,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,6,9,9,0,19,0,600,17.10333333333333,DEL,BOM,COK,None,None,None
3085,Jet Airways,Mumbai,Hyderabad,non-stop,In-flight meal not included,2470,3,24,19,35,21,5,90,27.444444444444443,BOM,HYD,None,None,None,None
3086,Air India,Delhi,Cochin,2 stops,No info,11622,3,9,13,15,9,25,1210,9.60495867768595,DEL,HYD,MAA,COK,None,None
3087,Vistara,Kolkata,Banglore,1 stop,No info,8662,5,6,20,20,10,45,865,10.013872832369943,CCU,DEL,BLR,None,None,None
3088,Air India,Delhi,Cochin,2 stops,No info,11972,6,24,17,15,19,15,1560,7.674358974358975,DEL,HYD,BOM,COK,None,None
3089,Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,11992,6,6,9,25,4,25,1140,10.519298245614035,DEL,LKO,BOM,COK,None,None
3090,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12373,5,18,10,0,4,25,1105,11.197285067873302,DEL,BOM,COK,None,None,None
3091,Multiple carriers,Delhi,Cochin,1 stop,No info,7198,6,1,10,0,1,30,930,7.7397849462365595,DEL,BOM,COK,None,None,None
3092,Jet Airways,Delhi,Cochin,1 stop,No info,14714,6,15,7,5,12,35,330,44.587878787878786,DEL,BOM,COK,None,None,None
3093,IndiGo,Delhi,Cochin,1 stop,No info,6316,6,9,16,0,1,30,570,11.080701754385965,DEL,BOM,COK,None,None,None
3094,Air India,Delhi,Cochin,1 stop,No info,5998,3,27,17,40,8,15,875,6.854857142857143,DEL,BLR,COK,None,None,None
3095,Jet Airways,Kolkata,Banglore,1 stop,No info,13044,6,12,18,55,16,20,1285,10.150972762645914,CCU,BOM,BLR,None,None,None
3096,Multiple carriers,Delhi,Cochin,1 stop,No info,9646,6,12,13,5,22,30,565,17.072566371681415,DEL,HYD,COK,None,None,None
3097,Air Asia,Delhi,Cochin,1 stop,No info,6451,6,27,16,45,7,10,865,7.457803468208093,DEL,BLR,COK,None,None,None
3098,GoAir,Delhi,Cochin,1 stop,No info,5281,6,24,7,0,12,55,355,14.87605633802817,DEL,BOM,COK,None,None,None
3099,Jet Airways,Mumbai,Hyderabad,non-stop,In-flight meal not included,2228,5,1,19,35,21,5,90,24.755555555555556,BOM,HYD,None,None,None,None
3100,IndiGo,Banglore,Delhi,non-stop,No info,3943,6,1,6,5,8,50,165,23.8969696969697,BLR,DEL,None,None,None,None
3101,Air India,Delhi,Cochin,2 stops,No info,11753,6,15,10,55,7,40,1245,9.440160642570282,DEL,GOI,BOM,COK,None,None
3102,Jet Airways,Delhi,Cochin,2 stops,No info,12819,6,24,23,5,12,35,810,15.825925925925926,DEL,AMD,BOM,COK,None,None
3103,Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,8728,3,21,13,55,18,50,1735,5.030547550432277,DEL,MAA,BOM,COK,None,None
3104,SpiceJet,Delhi,Cochin,1 stop,No info,4812,5,9,8,45,13,15,270,17.822222222222223,DEL,PNQ,COK,None,None,None
3105,Jet Airways,Kolkata,Banglore,1 stop,No info,14151,5,1,17,0,22,5,1745,8.10945558739255,CCU,DEL,BLR,None,None,None
3106,Vistara,Kolkata,Banglore,1 stop,No info,8452,5,1,20,20,9,5,765,11.048366013071895,CCU,DEL,BLR,None,None,None
3107,IndiGo,Kolkata,Banglore,1 stop,No info,6762,3,24,15,10,20,15,305,22.17049180327869,CCU,HYD,BLR,None,None,None
3108,Jet Airways,Banglore,New Delhi,1 stop,No info,13817,3,12,18,55,13,15,1100,12.56090909090909,BLR,BOM,DEL,None,None,None
3109,Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898,5,21,14,0,12,35,1355,9.518819188191882,DEL,BOM,COK,None,None,None
3110,IndiGo,Kolkata,Banglore,1 stop,No info,3480,4,6,19,20,23,45,265,13.132075471698114,CCU,HYD,BLR,None,None,None
3111,Jet Airways,Banglore,New Delhi,1 stop,1 Long layover,27992,3,1,11,40,21,20,580,48.262068965517244,BLR,BOM,DEL,None,None,None
3112,Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,7791,3,21,18,25,4,25,600,12.985,DEL,BDQ,BOM,COK,None,None
3113,Air India,Delhi,Cochin,1 stop,No info,5704,3,21,6,10,23,0,1010,5.647524752475247,DEL,BLR,COK,None,None,None
3114,IndiGo,Kolkata,Banglore,1 stop,No info,5268,5,21,16,35,22,15,340,15.494117647058824,CCU,MAA,BLR,None,None,None
3115,GoAir,Banglore,Delhi,non-stop,No info,3898,6,6,11,40,14,30,170,22.929411764705883,BLR,DEL,None,None,None,None
3116,SpiceJet,Kolkata,Banglore,non-stop,No info,3847,3,15,9,0,11,30,150,25.64666666666667,CCU,BLR,None,None,None,None
3117,Multiple carriers,Delhi,Cochin,1 stop,No info,10877,6,12,7,30,19,0,690,15.763768115942028,DEL,BOM,COK,None,None,None
3118,Multiple carriers,Delhi,Cochin,1 stop,No info,8371,4,9,8,45,19,15,630,13.287301587301588,DEL,BOM,COK,None,None,None
3119,Multiple carriers,Delhi,Cochin,1 stop,No info,7038,6,6,7,10,22,30,920,7.65,DEL,HYD,COK,None,None,None
3120,Jet Airways,Kolkata,Banglore,1 stop,No info,14571,6,9,6,30,16,20,590,24.696610169491525,CCU,BOM,BLR,None,None,None
