,Airline,Source,Destination,Route,Total_Stops,Additional_Info,Price,Journey_Month,Journey_Day,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute,Duration_mins,Price_per_minute
533,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,10031,3,24,8,25,12,0,1655,6.061027190332326
534,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,In-flight meal not included,12384,5,6,9,35,19,10,575,21.537391304347825
535,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,7757,5,9,14,5,18,15,1690,4.589940828402367
536,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,17261,3,6,21,25,11,25,840,20.548809523809524
537,SpiceJet,Chennai,Kolkata,MAA ? CCU,non-stop,No info,7298,3,1,9,30,12,5,155,47.08387096774194
538,Jet Airways,Banglore,Delhi,BLR ? DEL,non-stop,No info,7229,4,6,15,15,18,10,175,41.308571428571426
539,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4174,4,1,4,40,7,15,155,26.929032258064517
540,IndiGo,Kolkata,Banglore,CCU ? MAA ? BLR,1 stop,No info,5699,5,18,17,35,22,15,280,20.353571428571428
541,Air India,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4880,4,24,14,15,16,45,150,32.53333333333333
542,Air India,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,15284,3,6,8,0,19,15,675,22.64296296296296
543,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,13759,3,24,8,25,16,20,475,28.966315789473683
544,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,16092,3,24,9,55,18,45,530,30.362264150943396
545,IndiGo,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,4392,3,9,6,20,7,45,85,51.67058823529412
546,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10262,6,24,20,55,12,35,940,10.917021276595746
547,SpiceJet,Kolkata,Banglore,CCU ? BLR,non-stop,No check-in baggage included,3841,6,12,6,55,9,30,155,24.780645161290323
548,GoAir,Banglore,Delhi,BLR ? DEL,non-stop,No info,5048,6,1,7,45,10,40,175,28.845714285714287
549,Air India,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,11096,5,21,7,0,20,25,805,13.78385093167702
550,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,5073,4,24,7,35,12,10,275,18.44727272727273
551,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,19828,3,3,9,55,4,25,1110,17.863063063063063
552,Vistara,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3739,3,21,7,5,9,20,135,27.696296296296296
553,Air India,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,No info,10598,3,9,5,0,19,15,2295,4.617864923747277
554,Jet Airways,Banglore,Delhi,BLR ? DEL,non-stop,In-flight meal not included,7229,6,15,18,55,22,0,185,39.075675675675676
555,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,8610,4,1,17,0,18,50,1550,5.554838709677419
556,Vistara,Delhi,Cochin,DEL ? COK,non-stop,No info,6216,5,9,14,40,17,50,190,32.71578947368421
557,Air India,Banglore,Delhi,BLR ? DEL,non-stop,No info,6961,6,9,13,20,16,10,170,40.94705882352941
558,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,In-flight meal not included,10703,5,6,9,35,21,5,690,15.51159420289855
559,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,14151,5,15,17,0,23,35,395,35.8253164556962
560,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,8586,5,9,6,30,10,5,1655,5.187915407854985
561,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4488,4,12,20,20,22,55,155,28.954838709677418
562,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,7408,6,15,18,0,1,30,450,16.462222222222223
563,Jet Airways,Delhi,Cochin,DEL ? COK,non-stop,In-flight meal not included,5443,4,18,11,0,14,15,195,27.912820512820513
564,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,In-flight meal not included,10539,6,12,9,35,19,10,575,18.328695652173913
565,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,7723,6,1,13,0,1,30,750,10.297333333333333
566,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,15411,3,6,7,30,18,50,680,22.663235294117648
567,Jet Airways,Banglore,Delhi,BLR ? DEL,non-stop,No info,7229,5,21,7,10,10,10,180,40.16111111111111
568,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4804,6,21,20,20,22,55,155,30.993548387096773
569,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,non-stop,In-flight meal not included,4050,3,3,2,55,4,25,90,45.0
570,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,14151,5,18,17,0,19,10,1570,9.013375796178345
571,SpiceJet,Delhi,Cochin,DEL ? BLR ? COK,1 stop,No info,4957,4,6,17,55,22,50,295,16.803389830508475
572,Air India,Banglore,New Delhi,BLR ? DEL,non-stop,No info,7591,3,3,21,10,23,55,165,46.00606060606061
573,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,11134,3,24,13,55,22,35,520,21.411538461538463
574,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,6600,5,27,5,5,12,10,425,15.529411764705882
575,Air India,Banglore,New Delhi,BLR ? DEL,non-stop,No info,4966,3,9,21,10,23,55,165,30.096969696969698
576,Air India,Delhi,Cochin,DEL ? CCU ? BOM ? COK,2 stops,No info,15481,6,1,6,50,7,40,1490,10.38993288590604
577,SpiceJet,Kolkata,Banglore,CCU ? BLR,non-stop,No info,5515,3,1,22,20,0,40,140,39.392857142857146
578,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,14714,6,15,8,0,19,0,660,22.293939393939393
579,GoAir,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,4959,6,15,10,35,19,35,540,9.183333333333334
580,Jet Airways,Banglore,Delhi,BLR ? DEL,non-stop,No info,7229,4,21,11,10,14,5,175,41.308571428571426
581,Air India,Delhi,Cochin,DEL ? COK,non-stop,No info,6094,5,15,18,5,21,10,185,32.94054054054054
582,Air Asia,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4409,4,24,10,20,12,55,155,28.44516129032258
583,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,9794,5,18,6,0,19,0,780,12.556410256410256
584,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,5678,4,3,2,55,4,20,85,66.8
585,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,6442,6,15,8,35,16,10,455,14.158241758241758
586,Vistara,Banglore,Delhi,BLR ? DEL,non-stop,No info,4878,5,18,7,0,9,40,160,30.4875
587,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,12446,3,24,21,10,10,5,775,16.059354838709677
588,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,No info,16704,5,9,23,5,4,25,1760,9.49090909090909
589,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,In-flight meal not included,9134,3,15,5,45,10,45,300,30.446666666666665
590,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,8586,5,15,20,0,4,40,520,16.51153846153846
591,Jet Airways,Banglore,Delhi,BLR ? DEL,non-stop,In-flight meal not included,7229,6,1,7,10,10,10,180,40.16111111111111
592,Jet Airways,Banglore,Delhi,BLR ? DEL,non-stop,In-flight meal not included,6144,4,21,7,10,10,10,180,34.13333333333333
593,Air India,Banglore,Delhi,BLR ? DEL,non-stop,No info,6961,5,18,10,0,12,45,165,42.18787878787879
594,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,10844,5,9,16,30,4,40,730,14.854794520547944
595,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3597,5,21,19,35,21,55,140,25.692857142857143
596,SpiceJet,Banglore,New Delhi,BLR ? PNQ ? DEL,1 stop,No info,7139,3,21,10,20,18,15,475,15.029473684210526
597,Air India,Mumbai,Hyderabad,BOM ? JDH ? DEL ? HYD,2 stops,No info,25139,3,6,9,40,15,15,1775,14.162816901408451
598,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,2 stops,In-flight meal not included,10368,6,1,9,40,12,35,1615,6.419814241486068
599,Air India,Delhi,Cochin,DEL ? MAA ? COK,1 stop,No info,5117,4,6,20,40,9,25,765,6.688888888888889
600,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,9211,5,18,11,40,19,15,455,20.243956043956043
601,SpiceJet,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4174,4,15,17,10,19,40,150,27.826666666666668
602,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,10786,5,27,7,30,19,15,705,15.299290780141844
603,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,In-flight meal not included,9134,3,15,8,0,7,40,1420,6.432394366197183
604,Jet Airways,Delhi,Cochin,DEL ? NAG ? BOM ? COK,2 stops,No info,13376,6,1,14,35,4,25,830,16.11566265060241
605,Air India,Banglore,New Delhi,BLR ? COK ? DEL,1 stop,No info,6955,3,21,22,0,10,50,770,9.032467532467532
606,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,10844,5,9,8,25,18,15,590,18.379661016949154
607,Air Asia,Kolkata,Banglore,CCU ? BLR,non-stop,No info,3807,4,1,19,55,22,25,150,25.38
608,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,9663,5,1,14,5,12,0,1315,7.34828897338403
609,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,12373,5,9,2,15,4,25,1570,7.880891719745223
610,SpiceJet,Banglore,Delhi,BLR ? DEL,non-stop,No info,4991,5,1,21,10,0,5,175,28.52
611,Air India,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,6745,3,21,23,0,19,15,1215,5.551440329218107
612,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10262,6,15,22,50,19,0,1210,8.48099173553719
613,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,6540,3,27,17,30,4,25,655,9.98473282442748
614,SpiceJet,Kolkata,Banglore,CCU ? BLR,non-stop,No info,3873,4,6,17,10,19,40,150,25.82
615,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,15554,5,9,21,50,19,0,1270,12.247244094488188
616,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4804,5,27,20,20,22,55,155,30.993548387096773
617,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,7438,3,27,23,5,19,45,1240,5.998387096774193
618,Air Asia,Banglore,Delhi,BLR ? DEL,non-stop,No info,6181,5,3,4,55,7,45,170,36.358823529411765
619,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,9424,5,1,19,0,1,30,390,24.164102564102564
620,Air India,Banglore,New Delhi,BLR ? BOM ? BHO ? DEL,2 stops,No info,12725,3,12,17,25,23,25,1800,7.069444444444445
621,Air India,Banglore,New Delhi,BLR ? HYD ? DEL,1 stop,No info,6046,3,15,8,15,21,25,790,7.653164556962025
622,SpiceJet,Banglore,Delhi,BLR ? DEL,non-stop,No info,3971,6,15,21,10,0,5,175,22.69142857142857
623,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,12692,6,6,20,25,14,25,1080,11.751851851851852
624,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,7451,3,6,14,20,22,20,480,15.522916666666667
625,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,13817,3,12,22,55,7,40,525,26.31809523809524
626,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,In-flight meal not included,10703,5,6,9,35,22,5,750,14.270666666666667
627,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,13817,3,12,21,25,10,45,800,17.27125
628,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,27210,3,15,22,55,5,5,370,73.54054054054055
629,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,13941,5,18,21,10,4,40,450,30.98
630,Air India,Banglore,New Delhi,BLR ? HYD ? DEL,1 stop,No info,10246,3,1,17,0,12,15,1155,8.87099567099567
631,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4804,5,6,17,15,19,50,155,30.993548387096773
632,Air Asia,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,6810,6,6,22,40,10,40,720,9.458333333333334
633,Jet Airways,Banglore,Delhi,BLR ? DEL,non-stop,In-flight meal not included,5198,5,1,8,20,11,20,180,28.877777777777776
634,Vistara,Banglore,Delhi,BLR ? DEL,non-stop,No info,5613,5,3,21,0,23,50,170,33.01764705882353
635,IndiGo,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,4784,3,3,21,20,22,45,85,56.28235294117647
636,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,5406,3,21,19,45,18,50,1385,3.903249097472924
637,Air India,Banglore,Delhi,BLR ? DEL,non-stop,No info,5228,4,27,13,20,16,10,170,30.75294117647059
638,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,12898,5,27,20,55,19,0,1325,9.73433962264151
639,Air India,Chennai,Kolkata,MAA ? CCU,non-stop,No info,4667,6,15,11,40,13,55,135,34.57037037037037
640,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14781,5,21,14,5,19,50,345,42.84347826086957
641,Vistara,Banglore,Delhi,BLR ? DEL,non-stop,No info,5403,4,21,9,45,12,35,170,31.78235294117647
642,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,9899,6,12,14,5,23,35,570,17.366666666666667
643,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,2 stops,In-flight meal not included,13029,5,21,19,30,4,25,535,24.353271028037383
644,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,9187,5,18,17,0,10,45,1065,8.626291079812207
645,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,4823,5,24,20,0,22,50,170,28.370588235294118
646,Air India,Delhi,Cochin,DEL ? HYD ? BOM ? COK,2 stops,No info,8665,3,27,21,30,19,15,1305,6.639846743295019
647,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,14871,3,6,8,25,21,0,755,19.696688741721854
648,IndiGo,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,4049,6,21,6,25,7,55,90,44.98888888888889
649,Air India,Chennai,Kolkata,MAA ? CCU,non-stop,No info,4667,6,12,11,40,13,55,135,34.57037037037037
650,IndiGo,Kolkata,Banglore,CCU ? BBI ? BLR,1 stop,No info,4226,4,9,19,55,23,50,235,17.982978723404255
651,Air India,Banglore,New Delhi,BLR ? DEL,non-stop,No info,7591,3,3,6,10,8,55,165,46.00606060606061
652,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,19225,3,6,5,45,13,15,450,42.72222222222222
653,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,12898,5,27,19,15,12,35,1040,12.401923076923078
654,IndiGo,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,2754,6,9,12,0,13,30,90,30.6
655,SpiceJet,Mumbai,Hyderabad,BOM ? HYD,non-stop,No check-in baggage included,1965,5,3,13,15,14,45,90,21.833333333333332
656,Air India,Kolkata,Banglore,CCU ? GAU ? DEL ? BLR,2 stops,No info,12835,3,24,16,45,23,15,1830,7.0136612021857925
657,Jet Airways Business,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,52229,3,1,5,45,10,45,300,174.09666666666666
658,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,14533,5,15,8,0,19,15,675,21.53037037037037
659,Vistara,Banglore,Delhi,BLR ? DEL,non-stop,No info,4668,6,24,9,45,12,35,170,27.458823529411763
660,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,11822,4,9,17,30,12,35,1145,10.324890829694324
661,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,6017,3,27,21,50,4,25,395,15.232911392405063
662,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,14714,6,9,11,30,19,0,450,32.69777777777778
663,SpiceJet,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3597,6,9,8,20,10,35,135,26.644444444444446
664,Air Asia,Banglore,Delhi,BLR ? DEL,non-stop,No info,3383,4,24,11,10,13,55,165,20.503030303030304
665,Air India,Kolkata,Banglore,CCU ? BOM ? GOI ? BLR,2 stops,No info,11642,5,18,16,50,5,35,765,15.21830065359477
666,Vistara,Banglore,Delhi,BLR ? DEL,non-stop,No info,5403,4,27,21,0,23,50,170,31.78235294117647
667,Air India,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,No info,14221,3,3,16,40,19,15,1595,8.915987460815048
668,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,8586,5,18,21,10,10,5,775,11.078709677419354
669,IndiGo,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,4049,6,12,9,10,10,40,90,44.98888888888889
670,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10262,6,3,19,45,4,25,520,19.734615384615385
671,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,7888,5,21,7,0,21,0,840,9.39047619047619
672,Air India,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,No info,8236,3,21,19,45,19,15,1410,5.841134751773049
673,Air India,Delhi,Cochin,DEL ? UDR ? BOM ? COK,2 stops,No info,12961,6,6,13,20,19,15,1795,7.220612813370473
674,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,8586,5,9,6,30,4,40,1330,6.455639097744361
675,IndiGo,Kolkata,Banglore,CCU ? MAA ? BLR,1 stop,No info,5279,5,18,8,10,13,0,290,18.20344827586207
676,GoAir,Banglore,Delhi,BLR ? DEL,non-stop,No info,3419,6,18,20,55,23,40,165,20.721212121212123
677,Jet Airways,Delhi,Cochin,DEL ? IDR ? BOM ? COK,2 stops,No info,13292,6,15,5,30,19,0,810,16.409876543209876
678,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,13067,5,15,20,25,9,45,800,16.33375
679,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3597,5,3,13,15,15,35,140,25.692857142857143
680,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,15554,5,18,7,5,19,0,715,21.753846153846155
681,IndiGo,Delhi,Cochin,DEL ? BLR ? COK,1 stop,No info,6027,5,15,17,5,22,15,310,19.441935483870967
682,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14781,5,9,6,30,18,15,705,20.96595744680851
683,Jet Airways,Delhi,Cochin,DEL ? NAG ? BOM ? COK,2 stops,No info,13376,6,1,14,35,4,25,830,16.11566265060241
684,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,3943,5,27,21,15,0,15,180,21.905555555555555
685,GoAir,Delhi,Cochin,DEL ? AMD ? COK,1 stop,No info,5842,6,12,7,25,13,35,370,15.78918918918919
686,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,4326,3,15,5,15,7,35,140,30.9
687,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,8937,6,1,8,30,19,15,645,13.855813953488372
688,Air India,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3670,3,21,11,40,13,55,135,27.185185185185187
689,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,4823,6,18,18,25,21,20,175,27.56
690,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,non-stop,In-flight meal not included,2071,4,3,19,35,21,5,90,23.011111111111113
691,Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,1 stop,In-flight meal not included,6093,6,27,14,55,22,30,455,13.391208791208792
692,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,11682,3,24,20,20,22,55,1595,7.324137931034483
693,IndiGo,Banglore,New Delhi,BLR ? LKO ? DEL,1 stop,No info,7774,3,3,5,25,10,10,285,27.27719298245614
694,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,13067,5,12,17,0,14,25,1285,10.168871595330739
695,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,7514,5,27,7,35,16,10,515,14.590291262135922
696,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,6838,4,9,17,0,1,30,510,13.407843137254902
697,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3858,3,18,13,20,15,35,135,28.57777777777778
698,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,6795,6,15,12,50,1,30,760,8.94078947368421
699,Jet Airways,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,2 stops,No info,16263,5,27,20,0,4,25,505,32.203960396039605
700,Air India,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,8576,5,9,16,50,18,30,1540,5.568831168831169
701,Air India,Banglore,Delhi,BLR ? DEL,non-stop,No info,5228,5,6,10,0,12,45,165,31.684848484848484
702,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,No info,16704,5,1,23,5,4,25,1760,9.49090909090909
703,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,8872,3,24,20,25,23,5,160,55.45
704,GoAir,Banglore,Delhi,BLR ? DEL,non-stop,No info,3898,5,3,11,40,14,30,170,22.929411764705883
705,SpiceJet,Chennai,Kolkata,MAA ? CCU,non-stop,No check-in baggage included,3332,3,21,17,45,20,5,140,23.8
706,Jet Airways,Kolkata,Banglore,CCU ? GAU ? BLR,1 stop,In-flight meal not included,5608,5,21,10,20,17,35,435,12.891954022988505
707,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,13941,5,9,8,25,4,40,1215,11.474074074074075
708,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,9100,3,21,7,30,19,15,705,12.907801418439716
709,Vistara,Banglore,Delhi,BLR ? DEL,non-stop,No info,4878,6,15,17,0,19,35,155,31.470967741935485
710,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,6416,6,1,7,30,21,0,810,7.920987654320988
711,SpiceJet,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,2017,5,12,5,45,7,15,90,22.41111111111111
712,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,No info,10976,3,27,19,10,19,45,1475,7.44135593220339
713,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,10031,3,24,19,45,16,20,1235,8.122267206477733
714,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4462,3,18,5,30,8,20,170,26.24705882352941
715,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,5073,4,1,7,35,12,10,275,18.44727272727273
716,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,4326,3,27,5,15,7,35,140,30.9
717,Multiple carriers Premium economy,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,10161,3,21,7,30,19,15,705,14.412765957446808
718,IndiGo,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,3175,6,12,16,55,18,25,90,35.27777777777778
719,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,12312,3,24,20,20,9,10,770,15.98961038961039
720,Jet Airways,Delhi,Cochin,DEL ? UDR ? BOM ? COK,2 stops,No info,12604,3,21,18,20,18,50,1470,8.574149659863945
721,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,10877,6,15,7,30,19,0,690,15.763768115942028
722,IndiGo,Kolkata,Banglore,CCU ? MAA ? BLR,1 stop,No info,4226,5,18,6,20,10,20,240,17.608333333333334
723,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,5406,4,6,8,0,19,0,660,8.190909090909091
724,IndiGo,Delhi,Cochin,DEL ? MAA ? COK,1 stop,No info,8618,5,15,2,0,7,25,325,26.516923076923078
725,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4174,4,18,17,15,19,50,155,26.929032258064517
726,GoAir,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,10651,6,1,14,25,19,35,310,34.35806451612903
727,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,5963,3,21,18,15,4,25,610,9.775409836065574
728,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,2 stops,In-flight meal not included,10368,6,12,9,40,12,35,1615,6.419814241486068
729,IndiGo,Mumbai,Hyderabad,BOM ? GOI ? HYD,1 stop,No info,7681,3,6,15,45,23,0,435,17.657471264367818
730,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,7485,5,21,12,50,21,0,490,15.275510204081632
731,Jet Airways,Banglore,Delhi,BLR ? DEL,non-stop,In-flight meal not included,4544,4,3,15,15,18,10,175,25.965714285714284
732,SpiceJet,Kolkata,Banglore,CCU ? MAA ? BLR,1 stop,No info,4649,4,15,15,5,20,20,315,14.75873015873016
733,Vistara,Chennai,Kolkata,MAA ? CCU,non-stop,No info,11982,5,12,17,45,20,5,140,85.58571428571429
734,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,non-stop,In-flight meal not included,4995,6,24,7,5,8,30,85,58.76470588235294
735,IndiGo,Kolkata,Banglore,CCU ? MAA ? BLR,1 stop,No info,5069,5,9,8,10,13,0,290,17.479310344827585
736,SpiceJet,Kolkata,Banglore,CCU ? BLR,non-stop,No info,3873,6,1,22,20,0,40,140,27.664285714285715
737,SpiceJet,Kolkata,Banglore,CCU ? BLR,non-stop,No info,3873,4,27,22,20,0,40,140,27.664285714285715
738,Air India,Delhi,Cochin,DEL ? BLR ? COK,1 stop,No info,8907,5,27,9,45,23,0,795,11.20377358490566
739,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,10844,6,9,21,10,16,20,1150,9.429565217391305
740,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,10844,5,15,21,10,19,50,1360,7.973529411764706
741,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,9663,5,6,21,10,12,0,890,10.857303370786516
742,Jet Airways,Delhi,Cochin,DEL ? IDR ? BOM ? COK,2 stops,No info,13292,6,1,21,25,12,35,910,14.606593406593406
743,Jet Airways,Delhi,Cochin,DEL ? BHO ? BOM ? COK,2 stops,No info,14441,6,12,5,30,12,35,425,33.97882352941176
